ID,Source ID,Description,Gas,Type-of-Equipment,Gas-GWP,Unit-Charge-(kg),CO2-Equivalent-Emissions-(kg)
1,RAC001,Stand-alone cooler maintenance,R134a,Stand-Alone Commercial,1430,2,2860
2,RAC001,Annual refill,R134a,Stand-Alone Commercial,1430,1.5,2145
3,RAC002,Compressor check,R410A,Medium/Large Commercial,2088,2.5,5220
4,RAC002,Leak repair,R410A,Medium/Large Commercial,2088,1,2088
5,RAC003,AC unit refill,R22,AC Unit C,1810,1.2,2172
6,RAC003,Routine maintenance,R22,AC Unit C,1810,0.8,1448
7,RAC004,Chiller top-up,R404A,Industrial Chiller D,3922,1,3922
8,RAC004,Chiller leak fix,R404A,Industrial Chiller D,3922,0.5,1961
9,RAC001,Stand-alone partial top-up,R134a,Stand-Alone Commercial,1430,0.7,1001
10,RAC002,Medium unit minor refill,R410A,Medium/Large Commercial,2088,0.6,1252.8
11,RAC003,AC seasonal check,R22,AC Unit C,1810,0.4,724
12,RAC004,Chiller test,R404A,Industrial Chiller D,3922,0.3,1176.6
13,RAC001,Stand-alone emergency refill,R134a,Stand-Alone Commercial,1430,2.2,3146
14,RAC002,Medium unit large refill,R410A,Medium/Large Commercial,2088,3,6264
15,RAC003,AC minor leak,R22,AC Unit C,1810,0.5,905
16,RAC004,Chiller scheduled maintenance,R404A,Industrial Chiller D,3922,0.9,3529.8
17,RAC001,Stand-alone small top-up,R134a,Stand-Alone Commercial,1430,0.3,429
18,RAC002,Medium unit tiny refill,R410A,Medium/Large Commercial,2088,0.2,417.6
19,RAC003,AC emergency fix,R22,AC Unit C,1810,1.5,2715
20,RAC004,Chiller large refill,R404A,Industrial Chiller D,3922,2,7844
